	index_x	Protein1	Protein2	Score_x	Description1_x	Description2_x	Protein_1_clusters_x	Protein_2_clusters_x	Any Matching Go-Terms?_x	Train/Val/Test_x	Experimental P. Falciparum_x	P. Falciparum_x	P. Knowlesi_x	P. Berghei_x	P. Vivax_x	P. Yoelii_x	C. parvum_x	B. bovis_x	index_y	Score_y	Description1_y	Description2_y	Protein_1_clusters_y	Protein_2_clusters_y	Any Matching Go-Terms?_y	Train/Val/Test_y	Experimental P. Falciparum_y	P. Falciparum_y	P. Knowlesi_y	P. Berghei_y	P. Vivax_y	P. Yoelii_y	C. parvum_y	B. bovis_y	spearman_erythrocyte	7_stages	intraerythrocyte_cycle	blood_stages	Spearman_all	Pearson_all
127	361	C6KTB3	O77312	0.8176456272602082	Transportin	Exportin-1, putative	[19]	[19]	1	0	0	1	1	1	1	0	1	1	361	0.8176456272602082	Transportin	Exportin-1, putative	[19]	[19]	1	0	0	1	1	1	1	0	1	1	0.11904761904761905	1.0	0.3333333333333334	0.5357142857142858	0.8497536945812806	0.7951299582213942
128	103	C6KTB3	Q8I3M5	0.7967235803604126	Transportin	Karyopherin beta	[19]	[19]	1	1	1	1	1	1	1	1	1	1	103	0.7967235803604126	Transportin	Karyopherin beta	[19]	[19]	1	1	1	1	1	1	1	1	1	1	0.9047619047619048	0.9642857142857145	0.9523809523809524	0.9285714285714288	0.9714285714285712	0.9616407939292746
129	349	K7NTP5	O96153	0.98492751121521	Heat shock 70 kDa protein	26S proteasome regulatory subunit RPN1, putative	[0, 2, 14, 18, 24]	[2, 18]	0	0	0	0	0	0	0	0	0	0	349	0.98492751121521	Heat shock 70 kDa protein	26S proteasome regulatory subunit RPN1, putative	[0, 2, 14, 18, 24]	[2, 18]	0	0	0	0	0	0	0	0	0	0	-0.7142857142857144	0.42857142857142866	-0.7142857142857144	-0.7500000000000002	0.2852216748768472	-0.059263702147259546
130	211	K7NTP5	O96252	0.7500089704990387	Heat shock 70 kDa protein	ATP synthase subunit alpha	[0, 2, 14, 18, 24]	[2, 18, 24]	0	0	0	0	0	0	0	0	0	0	211	0.7500089704990387	Heat shock 70 kDa protein	ATP synthase subunit alpha	[0, 2, 14, 18, 24]	[2, 18, 24]	0	0	0	0	0	0	0	0	0	0	-0.7619047619047621	-0.3214285714285715	-0.8333333333333335	-0.8214285714285715	-0.36502463054187184	-0.2902215600427718
131	311	K7NTP5	O97247	0.5615703787654638	Heat shock 70 kDa protein	CCT-beta	[0, 2, 14, 18, 24]	[2, 18]	1	0	0	1	0	0	0	0	0	0	311	0.5615703787654638	Heat shock 70 kDa protein	CCT-beta	[0, 2, 14, 18, 24]	[2, 18]	1	0	0	1	0	0	0	0	0	0	0.261904761904762	0.8928571428571429	0.2380952380952381	0.642857142857143	0.6019704433497536	0.46036501020576376
132	403	K7NTP5	O97285	0.9574142575263976	Heat shock 70 kDa protein	ATP-dependent RNA helicase DDX6	[0, 2, 14, 18, 24]	[0, 2, 18, 24]	0	0	0	0	0	0	0	0	0	0	403	0.9574142575263976	Heat shock 70 kDa protein	ATP-dependent RNA helicase DDX6	[0, 2, 14, 18, 24]	[0, 2, 18, 24]	0	0	0	0	0	0	0	0	0	0	-0.7619047619047621	-0.42857142857142866	-0.8333333333333335	-0.642857142857143	-0.31822660098522154	-0.2851213121569711
133	535	K7NTP5	Q76NM3	0.790561419725418	Heat shock 70 kDa protein	L-lactate dehydrogenase	[0, 2, 14, 18, 24]	[2]	0	0	0	0	0	0	0	0	0	0	535	0.790561419725418	Heat shock 70 kDa protein	L-lactate dehydrogenase	[0, 2, 14, 18, 24]	[2]	0	0	0	0	0	0	0	0	0	0	0.28571428571428575	0.8928571428571429	0.5000000000000001	0.10714285714285716	0.6669950738916255	0.5232445753314431
134	61	K7NTP5	Q76NN8	0.621202540397644	Heat shock 70 kDa protein	Calcium-transporting ATPase	[0, 2, 14, 18, 24]	[24]	1	0	0	0	0	0	0	0	0	0	61	0.621202540397644	Heat shock 70 kDa protein	Calcium-transporting ATPase	[0, 2, 14, 18, 24]	[24]	1	0	0	0	0	0	0	0	0	0	-0.14285714285714288	0.6785714285714287	-0.14285714285714288	0.10714285714285716	0.4413793103448275	0.39613782055178237
135	388	K7NTP5	Q7KQL5	0.760325801372528	Heat shock 70 kDa protein	Tubulin beta chain	[0, 2, 14, 18, 24]	[2, 18]	0	1	1	1	0	0	0	0	0	0	388	0.760325801372528	Heat shock 70 kDa protein	Tubulin beta chain	[0, 2, 14, 18, 24]	[2, 18]	0	1	1	1	0	0	0	0	0	0	-0.8095238095238096	-0.3214285714285715	-0.7619047619047621	-0.9285714285714288	-0.39950738916256145	-0.39959301028611593
136	419	K7NTP5	Q8I0P6	0.9998429179191588	Heat shock 70 kDa protein	Elongation factor 1-alpha	[0, 2, 14, 18, 24]	[0, 2, 18]	0	0	0	1	0	0	0	0	0	0	419	0.9998429179191588	Heat shock 70 kDa protein	Elongation factor 1-alpha	[0, 2, 14, 18, 24]	[0, 2, 18]	0	0	0	1	0	0	0	0	0	0	0.4047619047619048	0.642857142857143	0.6666666666666669	0.42857142857142866	0.7221674876847289	0.48545269824562026
137	246	K7NTP5	Q8I0V2	0.9387556791305542	Heat shock 70 kDa protein	ATP synthase subunit beta	[0, 2, 14, 18, 24]	[0, 2, 14, 18, 24]	1	0	0	0	0	0	0	0	0	0	246	0.9387556791305542	Heat shock 70 kDa protein	ATP synthase subunit beta	[0, 2, 14, 18, 24]	[0, 2, 14, 18, 24]	1	0	0	0	0	0	0	0	0	0	-0.7142857142857144	-0.25	-0.7142857142857144	-0.6785714285714287	-0.283743842364532	-0.1730518426153878
138	319	K7NTP5	Q8I1V1	0.6494590699672699	Heat shock 70 kDa protein	26S protease regulatory subunit 6B, putative	[0, 2, 14, 18, 24]	[2, 18]	1	0	0	0	0	0	0	0	0	0	319	0.6494590699672699	Heat shock 70 kDa protein	26S protease regulatory subunit 6B, putative	[0, 2, 14, 18, 24]	[2, 18]	1	0	0	0	0	0	0	0	0	0	-0.7142857142857144	0.5714285714285715	-0.6190476190476191	-0.8571428571428573	0.1990147783251231	-0.04130667685548253
139	496	K7NTP5	Q8I2W2	0.6490318536758423	Heat shock 70 kDa protein	DnaJ protein, putative	[0, 2, 14, 18, 24]	[5]	1	0	0	1	0	0	0	0	0	0	496	0.6490318536758423	Heat shock 70 kDa protein	DnaJ protein, putative	[0, 2, 14, 18, 24]	[5]	1	0	0	1	0	0	0	0	0	0	-0.07142857142857144	0.14285714285714288	-0.28571428571428575	-0.6071428571428572	0.39852216748768465	0.1649325931899259
140	344	K7NTP5	Q8I5A9	0.51964130140841	Heat shock 70 kDa protein	Ras-related protein Rab-2	[0, 2, 14, 18, 24]	[24]	0	0	0	0	0	0	0	0	0	0	344	0.51964130140841	Heat shock 70 kDa protein	Ras-related protein Rab-2	[0, 2, 14, 18, 24]	[24]	0	0	0	0	0	0	0	0	0	0	-0.523809523809524	0.21428571428571433	-0.11904761904761905	-0.8214285714285715	0.3753694581280787	0.17231444990005773
141	157	K7NTP5	Q8I5H4	0.8169132530689239	Heat shock 70 kDa protein	Polyadenylate-binding protein	[0, 2, 14, 18, 24]	[0, 14, 18, 24, 27, 30]	0	1	0	0	0	0	0	0	0	0	157	0.8169132530689239	Heat shock 70 kDa protein	Polyadenylate-binding protein	[0, 2, 14, 18, 24]	[0, 14, 18, 24, 27, 30]	0	1	0	0	0	0	0	0	0	0	0.8571428571428572	1.0	0.9047619047619048	0.8928571428571429	0.8364532019704431	0.7330367350671965
142	340	K7NTP5	Q8I5L6	0.6622864723205566	Heat shock 70 kDa protein	Clathrin heavy chain	[0, 2, 14, 18, 24]	[0, 24]	0	1	0	0	0	0	0	0	0	0	340	0.6622864723205566	Heat shock 70 kDa protein	Clathrin heavy chain	[0, 2, 14, 18, 24]	[0, 24]	0	1	0	0	0	0	0	0	0	0	-0.3571428571428572	0.4642857142857144	-0.04761904761904763	0.0	0.4842364532019703	0.32050830150396376
143	195	K7NTP5	Q8I608	0.5021687181666493	Heat shock 70 kDa protein	Nucleosome assembly protein	[0, 2, 14, 18, 24]	[3, 14, 20, 21]	0	0	0	0	0	0	0	0	0	0	195	0.5021687181666493	Heat shock 70 kDa protein	Nucleosome assembly protein	[0, 2, 14, 18, 24]	[3, 14, 20, 21]	0	0	0	0	0	0	0	0	0	0	0.6904761904761906	0.642857142857143	0.8333333333333335	0.642857142857143	0.7251231527093595	0.7137560257374785
144	398	K7NTP5	Q8IB03	0.8848047971725463	Heat shock 70 kDa protein	Chaperone protein ClpB1	[0, 2, 14, 18, 24]	[2, 18]	1	1	1	1	0	0	0	0	0	0	398	0.8848047971725463	Heat shock 70 kDa protein	Chaperone protein ClpB1	[0, 2, 14, 18, 24]	[2, 18]	1	1	1	1	0	0	0	0	0	0	-0.4761904761904762	0.6071428571428572	-0.4047619047619048	-0.642857142857143	0.027343269082880428	0.03531060500525561
145	86	K7NTP5	Q8IB24	0.6818523705005646	Heat shock 70 kDa protein	Heat shock 70 kDa protein	[0, 2, 14, 18, 24]	[0, 10, 14, 24]	1	0	0	1	0	0	0	0	0	0	86	0.6818523705005646	Heat shock 70 kDa protein	Heat shock 70 kDa protein	[0, 2, 14, 18, 24]	[0, 10, 14, 24]	1	0	0	1	0	0	0	0	0	0	0.261904761904762	0.9642857142857145	0.38095238095238104	0.42857142857142866	0.6802955665024629	0.48539777879183754
146	234	K7NTP5	Q8IBD1	0.7366987407207489	Heat shock 70 kDa protein	Sporozoite and liver stage tryptophan-rich protein, putative	[0, 2, 14, 18, 24]	[24]	0	0	0	0	0	0	0	0	0	0	234	0.7366987407207489	Heat shock 70 kDa protein	Sporozoite and liver stage tryptophan-rich protein, putative	[0, 2, 14, 18, 24]	[24]	0	0	0	0	0	0	0	0	0	0	0.5714285714285715	0.8214285714285715	0.6904761904761906	0.5714285714285715	0.769950738916256	0.5366475132702825
147	376	K7NTP5	Q8IBV7	0.9997873187065124	Heat shock 70 kDa protein	Histone H2B	[0, 2, 14, 18, 24]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	376	0.9997873187065124	Heat shock 70 kDa protein	Histone H2B	[0, 2, 14, 18, 24]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	-0.5714285714285715	0.10714285714285716	-0.5952380952380953	-0.7857142857142859	0.13054187192118222	-0.19098885634238313
148	87	K7NTP5	Q8IES0	0.8520348906517029	Heat shock 70 kDa protein	Small heat shock protein, putative	[0, 2, 14, 18, 24]	[2, 18]	0	0	0	0	0	0	0	0	0	0	87	0.8520348906517029	Heat shock 70 kDa protein	Small heat shock protein, putative	[0, 2, 14, 18, 24]	[2, 18]	0	0	0	0	0	0	0	0	0	0	-0.6904761904761906	-0.5	-0.6190476190476191	-0.642857142857143	-0.13842364532019702	-0.1333206098469109
149	540	K7NTP5	Q8IET7	0.5077332239598036	Heat shock 70 kDa protein	40S ribosomal protein S7	[0, 2, 14, 18, 24]	[0, 2, 18]	0	1	1	1	0	0	0	0	0	0	540	0.5077332239598036	Heat shock 70 kDa protein	40S ribosomal protein S7	[0, 2, 14, 18, 24]	[0, 2, 18]	0	1	1	1	0	0	0	0	0	0	0.4285714285714286	0.21428571428571433	0.6428571428571429	0.5714285714285715	0.6807881773399013	0.45642009069336076
150	440	K7NTP5	Q8IFP3	0.757332581281662	Heat shock 70 kDa protein	Tubulin alpha chain	[0, 2, 14, 18, 24]	[2, 18]	0	0	1	1	0	0	0	0	0	0	440	0.757332581281662	Heat shock 70 kDa protein	Tubulin alpha chain	[0, 2, 14, 18, 24]	[2, 18]	0	0	1	1	0	0	0	0	0	0	-0.2142857142857143	-0.5	0.6666666666666669	0.9285714285714288	0.12315270935960589	-0.11410218600824215
151	292	K7NTP5	Q8II73	0.5348239287734031	Heat shock 70 kDa protein	Spermidine synthase	[0, 2, 14, 18, 24]	[]	0	0	0	0	0	0	0	0	0	0	292	0.5348239287734031	Heat shock 70 kDa protein	Spermidine synthase	[0, 2, 14, 18, 24]	[]	0	0	0	0	0	0	0	0	0	0	-0.07142857142857144	0.7500000000000002	0.28571428571428575	-0.5714285714285715	0.524630541871921	0.3741141912431114
152	397	K7NTP5	Q8IIJ8	0.7179137170314789	Heat shock 70 kDa protein	Heat shock protein 101	[0, 2, 14, 18, 24]	[2, 18]	1	1	1	1	0	0	0	0	0	0	397	0.7179137170314789	Heat shock 70 kDa protein	Heat shock protein 101	[0, 2, 14, 18, 24]	[2, 18]	1	1	1	1	0	0	0	0	0	0	0.4523809523809524	0.7857142857142859	0.6190476190476191	0.8571428571428573	0.7458128078817733	0.6756094213227588
153	350	K7NTP5	Q8IIV1	0.6553739674389363	Heat shock 70 kDa protein	Histone H2B	[0, 2, 14, 18, 24]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	350	0.6553739674389363	Heat shock 70 kDa protein	Histone H2B	[0, 2, 14, 18, 24]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	-0.8333333333333335	-0.6785714285714287	-0.9047619047619048	-0.3214285714285715	-0.41674876847290626	-0.37891430263516146
154	251	K7NTP5	Q8IIV2	0.5677161674946547	Heat shock 70 kDa protein	Histone H4	[0, 2, 14, 18, 24]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	251	0.5677161674946547	Heat shock 70 kDa protein	Histone H4	[0, 2, 14, 18, 24]	[0, 14, 27, 30]	0	0	0	0	0	0	0	0	0	0	-0.3333333333333334	-0.5	-0.4285714285714286	-0.9285714285714288	-0.17142857142857137	-0.2907904093155793
155	32	K7NTP5	Q8IJN7	0.9839324116706848	Heat shock 70 kDa protein	Enolase	[0, 2, 14, 18, 24]	[8]	0	1	1	1	0	0	0	0	0	0	32	0.9839324116706848	Heat shock 70 kDa protein	Enolase	[0, 2, 14, 18, 24]	[8]	0	1	1	1	0	0	0	0	0	0	0.2380952380952381	0.8928571428571429	0.38095238095238104	0.5	0.6753694581280786	0.3589385484418045
156	446	K7NTP5	Q8IJW0	0.7435745269060134	Heat shock 70 kDa protein	26S protease regulatory subunit 4, putative	[0, 2, 14, 18, 24]	[2, 18]	1	0	0	0	0	0	0	0	0	0	446	0.7435745269060134	Heat shock 70 kDa protein	26S protease regulatory subunit 4, putative	[0, 2, 14, 18, 24]	[2, 18]	1	0	0	0	0	0	0	0	0	0	-0.7142857142857144	0.5714285714285715	-0.5952380952380953	-0.8571428571428573	0.20246305418719207	-0.046502295891966375
157	523	K7NTP5	Q8IJX8	0.7987085238099099	Heat shock 70 kDa protein	Endonuclease ALBA3	[0, 2, 14, 18, 24]	[14]	0	0	0	0	0	0	0	0	0	0	523	0.7987085238099099	Heat shock 70 kDa protein	Endonuclease ALBA3	[0, 2, 14, 18, 24]	[14]	0	0	0	0	0	0	0	0	0	0	0.30952380952380953	0.7500000000000002	0.09523809523809526	0.7142857142857144	0.6241379310344827	0.4885845533807729
158	194	K7NTP5	Q8IK89	0.529296438023448	Heat shock 70 kDa protein	Trailer hitch homolog, putative	[0, 2, 14, 18, 24]	[0, 10, 14, 18, 24]	0	0	0	0	0	0	0	0	0	0	194	0.529296438023448	Heat shock 70 kDa protein	Trailer hitch homolog, putative	[0, 2, 14, 18, 24]	[0, 10, 14, 18, 24]	0	0	0	0	0	0	0	0	0	0	-0.7142857142857144	-0.642857142857143	-0.7380952380952381	-0.7857142857142859	-0.3527093596059112	-0.3621922473677922
159	225	K7NTP5	Q8IKF0	0.5628422144800425	Heat shock 70 kDa protein	RNA helicase	[0, 2, 14, 18, 24]	[0, 2, 10, 18, 24]	0	0	0	1	0	0	0	0	0	0	225	0.5628422144800425	Heat shock 70 kDa protein	RNA helicase	[0, 2, 14, 18, 24]	[0, 2, 10, 18, 24]	0	0	0	1	0	0	0	0	0	0	0.5000000000000001	1.0	0.7857142857142858	0.6071428571428572	0.8231527093596057	0.7866801603107677
160	312	K7NTP5	Q8IKG9	0.9537190079689026	Heat shock 70 kDa protein	Uncharacterized protein	[0, 2, 14, 18, 24]	[0, 24]	0	0	0	0	0	0	0	0	0	0	312	0.9537190079689026	Heat shock 70 kDa protein	Uncharacterized protein	[0, 2, 14, 18, 24]	[0, 24]	0	0	0	0	0	0	0	0	0	0	0.8571428571428572	-0.28571428571428575	0.9047619047619048	0.8928571428571429	0.5438423645320195	0.5054334314768123
161	430	K7NTP5	Q8IKJ0	0.5305626474320888	Heat shock 70 kDa protein	V-type proton ATPase subunit	[0, 2, 14, 18, 24]	[1, 6]	0	0	0	0	0	0	0	0	0	0	430	0.5305626474320888	Heat shock 70 kDa protein	V-type proton ATPase subunit	[0, 2, 14, 18, 24]	[1, 6]	0	0	0	0	0	0	0	0	0	0	-0.8333333333333335	0.4642857142857144	0.07142857142857144	0.21428571428571433	0.33694581280788166	0.14736874328748806
162	148	K7NTP5	Q8IKK7	0.739393949508667	Heat shock 70 kDa protein	Glyceraldehyde-3-phosphate dehydrogenase	[0, 2, 14, 18, 24]	[2]	0	1	0	1	0	0	0	0	0	0	148	0.739393949508667	Heat shock 70 kDa protein	Glyceraldehyde-3-phosphate dehydrogenase	[0, 2, 14, 18, 24]	[2]	0	1	0	1	0	0	0	0	0	0	-0.11904761904761905	0.8214285714285715	-0.023809523809523815	0.14285714285714288	0.5201970443349753	0.30488258032040905
163	163	K7NTP5	Q8IKR1	0.9004997372627258	Heat shock 70 kDa protein	H(+)-exporting diphosphatase	[0, 2, 14, 18, 24]	[2, 18]	0	0	0	0	0	0	0	0	0	0	163	0.9004997372627258	Heat shock 70 kDa protein	H(+)-exporting diphosphatase	[0, 2, 14, 18, 24]	[2, 18]	0	0	0	0	0	0	0	0	0	0	0.9285714285714287	1.0	0.9761904761904763	0.9285714285714288	0.957142857142857	0.9478726783291226
164	325	K7NTP5	Q8ILV6	0.9993508100509644	Heat shock 70 kDa protein	DnaJ protein, putative	[0, 2, 14, 18, 24]	[5]	1	0	0	1	0	0	0	0	0	0	325	0.9993508100509644	Heat shock 70 kDa protein	DnaJ protein, putative	[0, 2, 14, 18, 24]	[5]	1	0	0	1	0	0	0	0	0	0	0.023809523809523815	0.25	0.4523809523809524	0.3571428571428572	0.579310344827586	0.48809079533021527
165	339	O77310	Q8I395	0.9996237874031066	Cytoadherence linked asexual protein 3.1	High molecular weight rhoptry protein 3	[7]	[7]	1	1	1	1	0	0	0	0	0	0	339	0.9996237874031066	Cytoadherence linked asexual protein 3.1	High molecular weight rhoptry protein 3	[7]	[7]	1	1	1	1	0	0	0	0	0	0	0.9523809523809524	0.8571428571428573	0.8095238095238096	1.0	0.9389162561576353	0.9252821172464958
166	354	O77310	Q8IBN4	0.998648989200592	Cytoadherence linked asexual protein 3.1	Secreted ookinete protein, putative	[7]	[7]	0	0	0	0	0	0	0	0	0	0	354	0.998648989200592	Cytoadherence linked asexual protein 3.1	Secreted ookinete protein, putative	[7]	[7]	0	0	0	0	0	0	0	0	0	0	0.2380952380952381	-0.25	-0.4285714285714286	-0.30631873731649006	-0.15517241379310343	-0.11261435640878104
167	450	O77310	Q8IEU2	0.8462604761123658	Cytoadherence linked asexual protein 3.1	Gamete antigen 27/25	[7]	[7]	0	0	0	0	0	0	0	0	0	0	450	0.8462604761123658	Cytoadherence linked asexual protein 3.1	Gamete antigen 27/25	[7]	[7]	0	0	0	0	0	0	0	0	0	0	0.5476190476190477	-0.7500000000000002	0.8095238095238096	0.8928571428571429	-0.04630541871921181	-0.11485899454257074
168	230	O77310	Q8IKC8	0.8084828913211822	Cytoadherence linked asexual protein 3.1	Exported protein 2	[7]	[7]	0	0	0	0	0	0	0	0	0	0	230	0.8084828913211822	Cytoadherence linked asexual protein 3.1	Exported protein 2	[7]	[7]	0	0	0	0	0	0	0	0	0	0	-0.4761904761904762	-0.14285714285714288	-0.1666666666666667	-0.7500000000000002	-0.12660098522167484	-0.17137713229715637
169	471	O77310	Q8ILZ1	0.995767903327942	Cytoadherence linked asexual protein 3.1	Rhoptry-associated protein 1	[7]	[7]	1	0	0	0	0	0	0	0	0	0	471	0.995767903327942	Cytoadherence linked asexual protein 3.1	Rhoptry-associated protein 1	[7]	[7]	1	0	0	0	0	0	0	0	0	0	0.9047619047619048	0.9642857142857145	0.7857142857142858	1.0	0.9133004926108371	0.9363846615385398
170	515	O77312	Q8I3M5	0.5821890071034431	Exportin-1, putative	Karyopherin beta	[19]	[19]	0	0	0	0	1	0	1	0	1	1	515	0.5821890071034431	Exportin-1, putative	Karyopherin beta	[19]	[19]	0	0	0	0	1	0	1	0	1	1	-0.11904761904761905	0.9642857142857145	0.3571428571428572	0.3571428571428572	0.8167487684729062	0.765006745003845
171	69	O77389	Q8II36	0.8492644846439361	Formate-nitrite transporter	Aquaglyceroporin	[]	[6, 16, 28]	0	0	0	1	0	0	0	0	0	0	69	0.8492644846439361	Formate-nitrite transporter	Aquaglyceroporin	[]	[6, 16, 28]	0	0	0	1	0	0	0	0	0	0	-0.1666666666666667	-0.5	-0.4761904761904762	-0.1785714285714286	0.2068965517241379	-0.005264138885540608
172	552	O77396	Q7K6A9	0.9331219077110292	Proteasome subunit alpha type-3, putative	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	552	0.9331219077110292	Proteasome subunit alpha type-3, putative	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	1.0	0.6785714285714287	1.0	0.9642857142857145	0.9280788177339899	0.9408525915000368
173	418	O77396	Q8I0U7	0.9679560542106628	Proteasome subunit alpha type-3, putative	Proteasome subunit beta type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	0	1	418	0.9679560542106628	Proteasome subunit alpha type-3, putative	Proteasome subunit beta type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	0	1	0.9761904761904763	0.642857142857143	1.0	0.8214285714285715	0.9536945812807879	0.957610308011398
174	99	O77396	Q8I261	0.8277857899665833	Proteasome subunit alpha type-3, putative	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	0	1	1	1	1	1	99	0.8277857899665833	Proteasome subunit alpha type-3, putative	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	0	1	1	1	1	1	0.9761904761904763	0.3571428571428572	1.0	0.7500000000000002	0.927093596059113	0.9228417444582596
175	508	O77396	Q8I2X4	0.7662417173385621	Proteasome subunit alpha type-3, putative	Heat shock protein 70	[1, 6]	[1, 6, 16, 28]	0	0	0	0	0	0	0	0	0	0	508	0.7662417173385621	Proteasome subunit alpha type-3, putative	Heat shock protein 70	[1, 6]	[1, 6, 16, 28]	0	0	0	0	0	0	0	0	0	0	0.880952380952381	-0.42857142857142866	0.7857142857142858	0.8571428571428573	0.7837438423645319	0.8206916836916432
176	264	O77396	Q8IAR3	0.5754890620708465	Proteasome subunit alpha type-3, putative	Proteasome subunit alpha type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	264	0.5754890620708465	Proteasome subunit alpha type-3, putative	Proteasome subunit alpha type-6, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.07142857142857144	0.9761904761904763	0.8571428571428573	0.9492610837438422	0.9410755543647928
177	284	O77396	Q8IBI3	0.6254671137779951	Proteasome subunit alpha type-3, putative	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	284	0.6254671137779951	Proteasome subunit alpha type-3, putative	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9523809523809524	-0.42857142857142866	1.0	0.8214285714285715	0.8625615763546796	0.8195233019906141
178	224	O77396	Q8IC01	0.9279629588127136	Proteasome subunit alpha type-3, putative	Heat shock protein 110	[1, 6]	[1, 6, 16, 28]	0	0	0	0	0	0	0	0	0	0	224	0.9279629588127136	Proteasome subunit alpha type-3, putative	Heat shock protein 110	[1, 6]	[1, 6, 16, 28]	0	0	0	0	0	0	0	0	0	0	0.3571428571428572	-0.07142857142857144	0.07142857142857144	-0.5357142857142858	0.5266009852216748	0.40292225207580246
179	82	O77396	Q8IDG2	0.7277012944221497	Proteasome subunit alpha type-3, putative	Proteasome subunit alpha type	[1, 6]	[1, 6, 16]	1	1	1	1	1	1	1	1	1	1	82	0.7277012944221497	Proteasome subunit alpha type-3, putative	Proteasome subunit alpha type	[1, 6]	[1, 6, 16]	1	1	1	1	1	1	1	1	1	1	0.9761904761904763	0.3571428571428572	0.9761904761904763	0.8928571428571429	0.959605911330049	0.9593961462603982
180	189	O77396	Q8IDG3	0.8076829083263874	Proteasome subunit alpha type-3, putative	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	189	0.8076829083263874	Proteasome subunit alpha type-3, putative	Proteasome subunit alpha type	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	0.9523809523809524	0.3571428571428572	0.9761904761904763	0.7500000000000002	0.9251231527093594	0.8636875018186136
181	421	O77396	Q8II43	0.6738397832028568	Proteasome subunit alpha type-3, putative	T-complex protein 1 subunit alpha	[1, 6]	[1, 6]	0	0	0	0	1	1	1	0	1	1	421	0.6738397832028568	Proteasome subunit alpha type-3, putative	T-complex protein 1 subunit alpha	[1, 6]	[1, 6]	0	0	0	0	1	1	1	0	1	1	0.30952380952380953	-0.21428571428571433	0.07142857142857144	-0.42857142857142866	0.5532019704433496	0.3574216309086793
182	22	O77396	Q8IJN9	0.5896192209795117	Proteasome subunit alpha type-3, putative	Heat shock protein 60	[1, 6]	[1, 6, 16]	0	0	0	0	0	0	0	0	0	0	22	0.5896192209795117	Proteasome subunit alpha type-3, putative	Heat shock protein 60	[1, 6]	[1, 6, 16]	0	0	0	0	0	0	0	0	0	0	0.7142857142857144	-0.7500000000000002	0.5952380952380953	0.6071428571428572	0.685221674876847	0.4757668511624181
183	238	O77396	Q8IJT1	0.6240195512771607	Proteasome subunit alpha type-3, putative	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	238	0.6240195512771607	Proteasome subunit alpha type-3, putative	Proteasome subunit beta	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	1	1.0	0.642857142857143	1.0	0.8571428571428573	0.9669950738916253	0.9884929037449347
184	106	O77396	Q8IK90	0.571053259447217	Proteasome subunit alpha type-3, putative	Proteasome subunit alpha type-1, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	0	106	0.571053259447217	Proteasome subunit alpha type-3, putative	Proteasome subunit alpha type-1, putative	[1, 6]	[1, 6]	1	1	1	1	1	1	1	1	1	0	0.9523809523809524	0.25	1.0	0.8571428571428573	0.9206896551724136	0.9530565631259331
185	78	O96127	Q8I492	0.9797474980354308	Translation-enhancing factor	Mature parasite-infected erythrocyte surface antigen	[25]	[25]	0	0	0	0	0	0	0	0	0	0	78	0.9797474980354308	Translation-enhancing factor	Mature parasite-infected erythrocyte surface antigen	[25]	[25]	0	0	0	0	0	0	0	0	0	0	0.7380952380952381	0.8571428571428573	0.6190476190476191	0.7500000000000002	0.9236453201970442	0.31385699047454263
186	262	O96153	O96252	0.7996527016162872	26S proteasome regulatory subunit RPN1, putative	ATP synthase subunit alpha	[2, 18]	[2, 18, 24]	0	0	0	0	0	0	0	0	0	0	262	0.7996527016162872	26S proteasome regulatory subunit RPN1, putative	ATP synthase subunit alpha	[2, 18]	[2, 18, 24]	0	0	0	0	0	0	0	0	0	0	0.7619047619047621	0.6071428571428572	0.7619047619047621	0.8571428571428573	0.5684729064039408	0.7698887362426756
